study_id,authors,year,title,participants,measures,key_behavioural_findings,pwp_v_hc,pwp_v_icb,pwp_between_groups_other,pwp_within_groups,barratt_imp_scale,stroop,go_nogo,Trail Making Test,stop_signal,Delay Discounting,Simon,iowa_gambling,BART,Temperament and Character Inventory,Eriksen Flanker,Conditional Stop Signal task,Behavioural Inhibition Systems/Behavioural Approach Systems,Game of Dice,Cambridge Gambling Task,Snaith-Hamilton Pleasure Scale,Economics Task,Framing Paradigm,Deal or No Deal (ambiguous decision making),Manual Congruency Task,UPPS,Probability-Associated Gambling task (decision making under risk),Associative learning (learning through reward and punishment - DMuAmbiguity?),Vancouver Gambling Task,Monetary Decision Making,Zuckerman-Kuhlman Personality Questionnaire,Color Trails Test (TMT),Task switching,Rewarded Switching Task,Odd Man Out,Hayling Test,Stimulus-response associations,Beads task,Picture-Word Interference Task (lexical-semantic inhibition),Gambling Task,Oddball paradigm,"Countermanding task (""reaching"" SST)",Pro-/anti-saccades,Saccadic Visually guided/memory guided/etc,Saccadic Smooth pursuit,Saccadic GNG,Saccadic Simon,Saccadic other,Inhibition of Return,Covert orienting task (inhibition of return),Category Fluency,Verbal fluency,Semantic Priming,Random Number Generation,Selective Attention Task,Attention Network Test,Moving Dots Task,Cue-target detection task,Conner's Performance Test,Continuous Performance Test,Probabilistic Classification Task (reward and punishment learning),Probabilistic Selection Task,Reversal learning/reward and punishment,Intra-Extra Dimensional Set Shifting,Holt-Laury task,Excluded Letter Fluency Test,2-back task,Rewarded Reaction Time,Incentive Value Task,Verb/noun production task,Dimensional Integration Task,Orienting of Attention,Salience Attribution Test,Cued activation/inhibition task,Anagram task,Calculation task,Binary Choice Task,Valuation Rating Task,Choice Titration Task,Virtual Reality Motor Inhibition Task,Temporal bisection task,Temporal Trisection task,Crossed response inhibition task,Simple RT task,Investment Task,Masked Priming task,Negative Priming,Identity Priming Task,Location Priming Task,Ignored Repetition Task,Repetition Priming,Choice Reaction Task (Paper-rock-scissors),Virtual Multiple Errand Test,Anti-cue keypress task,Temporal Interval Task,Working memory task,Wisconsin Card Sorting Task,Marble Task,Interference task,Stop-Change Paradigm,Lexical ambiguity,Tridimensional Personality Questionnaire,Visuomotor tracking task,Reversal learning
64,Djamshidian et al. (2010),2010,Risk and Learning in Impulsive and Nonimpulsive Patients With Parkinson's Disease,"(a) 12 PwP-ICB (9 male), 63.6 (2.2). UPDRS OFF 24 (1.6), UPDRS ON 13 (1.4), duration 12.7 years (2.1). (b) 18 PwP+ICB (13 male), 55 (2.1). UPDRS OFF 38 (3.4), UPDRS ON 18 (2.2), duration 10.9 years (1.2). (c) 22 HC (12 male), 55 (3).","Associative learning (learning through reward and punishment), Gambling task (risk aversion). Also: Medication ON/OFF.","Learning task – no significant effect of group (PwP+ICB, PwP-ICB, HC) on learning from positive/negative feedback. Medication results not reported. Gambling task – HCs became more risk averse whereas PwP-ICB became less risk averse (risk preference). No diff between PwP-ICB and PwP or HC. Gambling task – no group differences on whether participants became less risk averse following a win.",yes,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Djamshidian et al. (2011) ,2011,Stroop test performance in impulsive and non impulsive patients with Parkinson's disease,(a) 28 PwP+ICB. (b) 24 PwP-ICB. (c) 24 HC.,Stroop task (cognitive flexibility). Also: Medication ON/OFF.,"Both PwP+ICB and PwP-ICB produced significantly more errors than HCs when OFF medication, but not when ON medication. There were no significant differences between PwP+ICB and PwP-ICB. None of the groups differed in terms of RT. Error rates on switch vs no-switch trials did not differ by group nor by effects of medication, but RT was changed when medication was ON.",yes,yes,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Djamshidian et al. (2012) ,2012,"Decision making, impulsivity, and addictions: Do Parkinson's disease patients jump to conclusions?",(a) 27 PwP-ICB. (b) 26 PwP+ICB. (c) 18 HC.,Beads task (reflection impulsivity).,"PwP+ICB patients were more impulsive (drew less beads) than PwP-ICB, and HCs. All patients were more impulsive (picked opposite colour to rational option) than HCs, with no differences between PwP+ICB and PwP-ICB. No correlation between QUIP and bead draws.",yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Djamshidian et al. (2013),2013,Dopamine Agonists Rather than Deep Brain Stimulation Cause Reflection Impulsivity in Parkinson's Disease,"(a) 20 PwP taking dopamine agonists (DA) (19 male), 64.3 (5.2). UPDRS 19.4 (11.6), duration 11.1 years (7.0). (b) 14 PwP without DA (11 male), 67.2 (7.5). UPDRS 16.0 (2.3), duration 6.2 years (3.8). (c) 16 PwP+DBS+DA (11 male), 59.1 (11.6). UPDRS 17.6 (4.4), duration 15.6 years (6.0). (d) 11 PwP+DBS-DA (10 male), 57.0 (7.0). UPDRS 16.5 (4.4), duration 14.4 (5.0). (e) 18 HC (15 male), 58.9 (12.8).",Beads task (reflection impulsivity),"Both groups on dopamine agonists (PwP+DA, PwP+DBS+DA) showed higher impulsivity as they drew significantly less beads and made more irrational decisions (picking the less likely cup given the information available) than the other three groups (HCs, PwP-DA, PwP+DBS-DA).",yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Dujardin et al. (1999) ,1999,Impairment of the supervisory attentional system in early untreated patients with Parkinson's disease,(a) 17 de novo PwP. (b) 17 HC.,Stroop (response inhibition).,PwP showed reduced response inhibition abilities compared to HC.,yes,no,no,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Dunet et al. (2016),2016,Cognitive Impairment and Basal Ganglia Functional Connectivity in Vascular Parkinsonism,"(a) 8 vascular PwP (7 male), 78 (2). (b) 27 idiopathic PwP (18 male), 80 (5). (c) 27 HC (19 male), 78 (3).",Stroop task (inhibitory abilities). Also: fMRI.,Significant differences between groups for interference errors and interference RT. Vascular PwP had higher interference errors and worse interference RT than HC. No comparisons between HC and idiopathic PwP. Abnormal increased resting state activity in perigenual anterior cingulate cortex not suppressed during the task resulting in impaired inhibitory control on Stroop.,yes,no,yes,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Duprez et al. (2017),2017,Impulsive oculomotor action selection in Parkinson's disease,,,,yes,no,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Duprez et al. (2018),2018,Continuous subcutaneous apomorphine infusion does not impair the dynamics of cognitive action control in mild to moderate Parkinson’s disease,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Eddy et al. (2013) ,2013,Theory of Mind Deficits in Parkinson's Disease: A Product of Executive Dysfunction?,"(a) 24 PwP (15 male), 62.45 (9.81). Duration 6.9 years (4.8). (b) 16 HC (8 male), 56.63 (6.92).",Stroop (inhibition).,PwP made significantly more errors than HC. No difference in RT interference effects between PwP and HC. Used a task with black and white squares (no words) and participants had to say the opposite colour to the one presented.,yes,no,no,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Evens et al. (2015) ,2015,The impact of Parkinson's disease and subthalamic deep brain stimulation on reward processing,"(a) 33 PwP with STN-DBS (23 male), 65.88 (6.40). UPDRS ON DBS 9.05 (9.81), UPDRS OFF DBS 33.29 (14.01), H&Y 3.17 (0.51), duration 15.27 years (5.37). (b) 33 PwP without STN-DBS (25 male), 65.18 (8.13). UPDRS 16.91 (7.28), H&Y 2.39 (0.59), duration 7.37 years (4.26). (c) 34 HC (24 male), 65.26 (6.15).","Delay discounting (impulsive choice), incentive value task (incentive salience), Iowa gambling task (risky choice), Barratt Impulsivity Scale (impulsivity). Also: STN-DBS ON/OFF.","STN-DBS patients showed stronger discounting (higher impulsivity) than HC, but not patients without STN-DBS. Turning STN-DBS ON or OFF had no significant difference. Patients with STN-DBS and patients without STN-DBS ascribed higher incentive values than HCs. Turning STN-DBS ON or OFF made no significant difference. No significant difference between groups for total gains on IGT. PwP STN-DBS patients chose less advantageously ON versus OFF. STN-DBS patients with it ON chose less advantageously than non DBS patients and HCs. No significant differences in learning across the task. STN-DBS patients showed more impulsivity on the Barratt Impulsivity Scale than patients without STN-DBS and HCs.",yes,no,yes,yes,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Fabbri et al (2018),2018,Theory of mind and joint action in Parkinson’s disease,,,,yes,no,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Fales et al. (2006),2006,Backward inhibition in Parkinson's disease,"(a) 21 PwP (13 male), 66.9 (8.2). H&Y 2 (1-3), duration 5.8 years (3.5). (b) 25 HC (13 male), 68.8 (9.6).","Task Switching (task switching and backward inhibition), Stroop, Color Trails Test","No significant differences between PwP and HC for Stroop interference or Color Trails Test B-A. No significant effect of group on RTs in different trial types (repeat, switch-after-repeat, double switch, alternating switch). No significant effect of group for backward inhibition on RT but PwP worse for accuracy.",yes,no,no,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Falkenstein et al. (2006) ,2006,Effects of stimulus-response compatibility in Parkinson's disease: a psychophysiological analysis,"(a) 15 PwP (8 male), 61.6 (49-76). UPDRS 25 (13-58). (b) 15 HC (8 male), 60.9 (49-76).","Eriksen flanker (stimulus-response compatibility). Also: EOG, EEG.",HCs had a greater congruent vs incongruent RT difference (compatibility effect) than PwP. PwP were less susceptible to flanker distractors. PwP showed worse accuracy.,yes,no,no,no,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Favre et al. (2013) ,2013,"Deep brain stimulation of the subthalamic nucleus, but not dopaminergic medication, improves proactive inhibitory control of movement initiation in Parkinson's disease","(a) 14 medicated PwP (9 male), 57.4. UPDRS ON 9.07 (5.91), UPDRS OFF 30 (9.31), duration 8.57 years (3.01). (b) 11 DBS PwP (5 male), 60.5. UPDRS ON 9 (4.69), UPDRS OFF 28.3 (6.41), duration 14.91 years (6.6). (c) 14 HC (7 male), 57.4.","Cue-target detection task. Also: Medication ON/OFF, STN-DBS ON/OFF.",,yes,no,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Fielding et al. (2005) ,2005,No sequence dependent modulation of the Simon effect in Parkinson's disease,"(a) 10 PwP, 60.2 (8.97). UPDRS 12.8 (6.68), duration 8.3 (4.24). (b) 10 HC, 59.70 (9.92).",Simon task (response inhibition). Also: Saccades.,"Reduced inhibitory control in PwP compared to HC (more errors). Unlike HC, this is not modulated by recent successful or unsuccessful inhibition in PwP.",yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Filoteo et al. (1997),1997,An examination of the nature of attentional deficits in patients with Parkinson's disease: Evidence from a spatial orienting task,"(a) 17 PwP (12 male), 63.88 (7.54). H&Y 1-4, duration 10.65 years (8.31). (b) 17 HC (12 male), 67.35 (10.22).",Orienting of Attention task (attention/inhibition of return),"No group differences in exogenous or endogenous attention when SOA was 50-250ms. PwP patient’s attentional deficits due to impaired inhibitory processes as they showed a reduced inhibition of return compared to HCs (normal buildup of inhibition, but more rapid decay of inhibition).",yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Filoteo et al. (1999),1999,Quantitative modeling of visual attention processes in patients with Parkinson's disease: Effects of stimulus integrality on selective attention and dimensional integration,"(a) 22 PwP (13 male), 66 (8.67). H&Y 1-3. (b) 22 HC (10 male), 68.59 (7.19).","Dimensional Integration Task (visual attention), Selective Attention task (visual attention).",,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Filoteo et al. (2002) ,2002,Negative priming in patients with Parkinson's disease: Evidence for a role of the striatum in inhibitory attentional processes,"(a) 15 PwP, 61.47 (7.59). H&Y 1-3. (b) 14 HCs, 66.38 (7.85).",Negative priming/ignored repetition task (negative priming/inhibition).,"PwP did not show a negative priming effect, but HCs did, which was significantly different between groups. Both PwP and HCs showed no negative priming effect for identity. PwP showed no negative priming effect for location, but HCs did.",yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
82,Flannery et al. (2018),2018,Computerized testing in Parkinson’s disease: Performance deficits in relation to standard clinical measures,,,,yes,no,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Fleury et al. (2014),2014,Dopaminergic modulation of emotional conflict in Parkinson's disease,"(a) 10 PwP (7 male), 60 (4.2). UPDRS ON 11.4 (7.4), UPDRS OFF 33.8 (10.8), duration 9 years (3.1). (b) 23 HC (8 male), 60.1 (6.4).","Emotional Stroop task (emotional interference/conflict). Also: Levodopa ON/OFF, fMRI.","No differences in % correct. No differences in congruency effect (RT) between HC vs ON and OFF PwP. Congruent effect (RT) larger for ON than OFF PwP, regardless of emotion displayed. Presented with faces showing happy or fearful faces with the word “HAPPY” or “FEAR” written on top – had to judge the expression.",yes,no,no,yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Florin et al. (2013),2013,Subthalamic stimulation modulates self-estimation of patients with Parkinson's disease and induces risk-seeking behaviour,(a) 29 PwP. (b) 30 STN-DBS PwP. (c) 19 HC.,Calculation task,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Fluchère et al. (2015) ,2015,Dopa therapy and action impulsivity: subthreshold error activation and suppression in Parkinson's disease,"(a) 15 PwP (11 male), 60 (7). UPDRS OFF medication 21 (14-32), ON medication 7 (0-20), H&Y 3 (0), duration 12 years (6).","Simon task. Also: EMG, Medication ON/OFF.","No differences in impulsive action ON or OFF medication, except that the ability to correct an impulsive action was more impaired ON medication than OFF.",no,no,no,yes,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Fluchère et al. (2018),2018,"Subthalamic nucleus stimulation, dopaminergic treatment and impulsivity in Parkinson's disease",,,,no,no,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Foerde et al. (2016),2016,Dopamine modulation of intertemporal decision-making: Evidence from parkinson disease,"(a) 14 PwP ON medication (6 male), 70.8 (8). UPDRS 21.2 (11.3), H&Y 1-3, duration 7.6 years (6.9). (b) 17 PwP OFF medication (7 male), 61.9 (7.8). UPDRS 14.5 (10.2), H&Y 1-3, duration 7.2 years (5.1). (c) 18 HC (5 male), 63.6 (8.4).","Binary Choice Task, Valuation Rating Task, Choice Titration Task",,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
88,Frank et al. (2007),2007,"Hold your horses: Impulsivity, deep brain stimulation, and medication in parkinsonism","(a) 15 PwP ON/OFF STN-DBS (13 male), 64.5 (2.8).  H&Y 2.3 (0.2). (b) 12 PwP ON/OFF medication (7 male), 67.8 (2.1). H&Y 2.4 (0.2). (c) 22 HC (7 male), 66 (1.7).","Probabilistic Selection Task. Also: Medication ON/OFF, STN-DBS ON/OFF.",,yes,no,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Franz & Miller (2002) ,2002,Effects of response readiness on reaction time and force output in people with Parkinson's disease,"(a) 12 PwP, 66 (6.07). UPDRS 18.08 (9.06), duration 7.6 years(4.7). (b) 12 HC, 65.1 (4.25).",Cued Go/No-Go (response inhibition),No significant group differences including with a force measure of responding.,yes,no,no,no,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Fumagalli et al. (2015),2015,Subthalamic involvement in monetary reward and its dysfunction in parkinsonian gamblers,"(a) 6 PwP+PG (5 male), 52.17 (8.13). Duration 9.67 years (4.59). (b) 6 PwP-PG (1 male), 61.5 (8.02). Duration 11 years (2.97).",Economics task (decision making). Also: EEG.,PwP+PG showed riskier strategies than PwP-PG. PwP+PG patients showed higher low frequency power changes in STN than PwP-PG when receiving positive feedback after risky decision.,no,yes,no,no,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Galpin et al. (2011) ,2011,Object affordance and spatial-compatibility effects in Parkinson's disease,"(a) 24 PwP, 64.4 (8.2). UPDRS 23 (10). (b) 24 HC, 66 (8.8).",Affordance-based Simon task (affordance and spatial compatibility).,(a) HCs had a larger compatibility effect than PwP. (b) HCs experienced demonstrate interference from spatial incompatibility and facilitation from affordance compatibility. (c) PwPs experience facilitation from spatial compatibility and affordance compatibility.,yes,no,no,no,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Galtier et al. (2014) ,2014,Cognitive impairment in Parkinson's disease: More than a frontostriatal dysfunction,"(a) 43 PwP (24 male), 59.19 (9.64). UPDRS 28.46 (13.96), H&Y 2.28 (0.77), duration since diagnosis 8.30 years (6.33). (b) 20 HC (9 male), 60.85 (12.26).",Stroop task (response inhibition).,No difference in response inhibition between PwP and HC groups.,yes,no,no,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Gauggel et al. (2004) ,2004,Inhibition of ongoing responses in patients with Parkinson's disease,"(a) 32 hospitalised PwP (17 male), 57.8 (5.2), H&Y 2.6 (0.8), duration 470 weeks (282). (b) 31 orthopaedic OCs (17 male), 56.7 (7.2).",Stop Signal Task (response inhibition).,Reduced response inhibition in PwP group compared to HC.,yes,no,no,no,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Gawrys et al. (2014),2014,The neural correlates of specific executive dysfunctions in Parkinson's disease,"(a) 30 PwP (13 male), 56.03 (7.51). H&Y 2 (1), duration 6.75 years (5.25). HC (8 male), 57.11 (6.62).","Trail Making Test (inhibition), Stroop (inhibition), n-back task (inhibitory control and ask switching), Wisconsin Card Sorting Test (task switching). Also: fMRI.","PwP worse than HC for TMT B-A, Stroop, WCST, and n-back task (though n-back task also heavily involves working memory so can’t say for certain this is due to response inhibition, but performance on TMT and Stroop suggest it’s likely). Response inhibition associated with activity in right central opercular cortex, and left putamen and intracalcarine cortex. Task switching associated with right: inferior frontal gyrus, pars opercularis, caudate, putamen",yes,no,no,no,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
95,Geffe et al. (2016),2016,"The single intake of levodopa modulates implicit learning in drug naive, de novo patients with idiopathic Parkinson's disease","(a) 22 de novo PwP, 66.4 (14.4). UPDRS 29.5 (0.6), H&Y 2.1 (0.6), duration 2.2 years (2.2). (b) 23 HC, 67 (10.3).",Go/No-Go (implicit learning). Also: levodopa ON/OFF.,HCs made significantly less omission errors than PwP+ON. More commission errors for HC and PwP+OFF in deconditioning compared to conditioning phase. More omission errors generally in No-Go version in PwP patients ON and OFF levodopa compared to HCs. No differences in the Go version of the task – group differences only occur when trials requiring inhibition occur infrequently (as in the No-Go version) compared to frequently (as in the Go version).,yes,no,no,yes,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,George et al. (2013),2013,Dopaminergic therapy in Parkinson's disease decreases cortical beta band coherence in the resting state and increases cortical beta band power during executive control,"(a) 16 PwP (8 male), 62.6 (8.3). UPDRS ON 33.68 (10.86), UPDRS OFF 41.5 (12.95), H&Y 2-3, duration 4.94 years (3.77). (b) 16 HC (7 male), 63.5 (9.6).",Stop Signal Task (inhibitory control). Also: Medication ON/OFF.,SSRT was longer for PwP participants than HC participants. SSRT did not differ ON vs OFF meds.,yes,no,no,yes,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Georgiades et al. (2016) ,2016,Investigating motor initiation and inhibition deficits in patients with Parkinson's disease and freezing of gait using a virtual reality paradigm,(a) 31 PwP+FOG. (b) 23 PwP-FOG. (c) 15 HC.,Virtual reality motor inhibition task (motor inhibition),"PwP+FOG showed reduced motor inhibition compared to PwP-FOG and HC, especially under high cognitive load. No differences between PwP-FOG and HC.",yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
98,Georgiev et al. (2016) ,2016,In Parkinson's disease on a probabilistic Go/NoGo task deep brain stimulation of the subthalamic nucleus only interferes with withholding of the most prepotent responses,(a) 20 STN-DBS PwP. (b) 10 PwP controls. (c) 10 HC.,Go/No-Go task (action restraint).,Discriminability was lower with STN-DBS ON only when probability of No-Go trials was low. No group differences on commission error rate. No differences between STN ON/OFF.,yes,no,yes,yes,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Georgiev et al. (2015),2015,Dopaminergic medication alters auditory distractor processing in Parkinson's disease,"(a) 14 PwP (8 male), 60.39 (12.25). UPDRS ON 28.64 (7.66), UPDRS OFF 40.07 (7.66), duration 3.53 (3.03). (b) 13 HC (7 male), 57 (8.58).","Oddball paradigm (attention). Also: EEG, medication ON/OFF.",No differences in task performance (number of targets identified) between HC and PwP ON and OFF meds for either visual or auditory oddball tasks. PwP ON medication show increased P3 amplitude for processing auditory (but not visual) distractors compared to PwP OFF. Dopaminergic therapy affects processing of distracting auditory stimuli.,yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Goelz et al (2017),2017,The effects of unilateral versus bilateral subthalamic nucleus deep brain stimulation on prosaccades and antisaccades in Parkinson's disease,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Gorges et al. (2013),2013,Functional connectivity within the default mode network is associated with saccadic accuracy in Parkinson's disease: a resting-state FMRI and videooculographic study,"(a) 12 PwP (10 male), 69.6 (9.1). H&Y 2.7 (0.8), duration 3.9 years (2.2). (b) 13 HC (9 male), 67.2 (6.5).","Visually guided reactive saccades, Smooth pursuit eye movements, Delayed saccade task (disinhibition control), Rapidly alternating voluntary gaze shift (lack of initation). Also: fMRI.","Compared to HCs, PwP participants showed less accuracy for reactive saccades (horizontally and vertically), reduced performance on smooth pursuit saccades (hypometric – differences in gain - more “stepping”) less accuracy for delayed saccades, and a decreased number of rapid alternating gaze shifts. PwP: Negative correlation between posterior cingulate cortex and left medial temporal lobe connectivity and accuracy of visually guided reactive saccades. No correlations between other behavioural measures and connectivity strengths.",yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Gorges et al. (2017),2017,Regional microstructural damage and patterns of eye movement impairment: a DTI and video-oculography study in neurodegenerative parkinsonian syndromes,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
